epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.967,3.67253,12.9741,3.0961,0.00067,0.2,0.00051,0.00022,2.7323,9.93098,2.54754,2e-05,2e-05,2e-05
2,6.19978,3.80813,15.9553,3.14797,0.00067,0.2,0.00051,0.0001,2.74321,9.85746,2.50351,5.8812e-05,5.8812e-05,5.8812e-05
3,8.1246,3.58458,14.3965,3.18527,0.00067,0.2,0.00054,0.00016,2.69272,9.59206,2.35275,9.604e-05,9.604e-05,9.604e-05
4,10.6367,3.36471,22.61,2.88535,0.00067,0.2,0.00055,0.00021,2.59265,10.719,2.38156,0.000131684,0.000131684,0.000131684
5,12.3961,3.64793,13.7599,2.75781,0.00067,0.2,0.00065,0.00013,2.67477,9.89817,2.39225,0.000165744,0.000165744,0.000165744
6,13.2304,3.4342,13.9501,2.982,0.00067,0.2,0.00041,8e-05,2.97597,42.7085,2.1428,0.00019822,0.00019822,0.00019822
7,14.2024,3.30533,12.1413,2.60664,0.00488,0.4,0.00785,0.00217,2.74347,14.9667,1.75362,0.000229112,0.000229112,0.000229112
8,15.3182,2.85456,7.51819,2.01775,0.43478,0.77216,0.43639,0.06589,2.47988,7.96192,1.48588,0.00025842,0.00025842,0.00025842
9,16.4319,2.46793,5.13376,1.95356,0.97313,1,0.995,0.38182,2.09056,6.16812,1.25334,0.000286144,0.000286144,0.000286144
10,17.5474,2.04127,3.07268,1.50905,0.80957,1,0.96167,0.5024,1.73255,4.66168,1.12887,0.000312284,0.000312284,0.000312284
11,18.6243,1.90698,2.75791,1.51084,0.83056,0.98338,0.86167,0.57611,1.36351,3.85925,1.05458,0.00033684,0.00033684,0.00033684
12,19.7916,1.45917,2.51321,1.25511,0.83056,0.98338,0.86167,0.57611,1.36351,3.85925,1.05458,0.000359812,0.000359812,0.000359812
13,20.9633,1.73221,2.44492,1.36,0.9905,1,0.995,0.69562,1.3058,2.76883,1.03597,0.0003812,0.0003812,0.0003812
14,22.128,1.49321,2.47353,1.19031,0.92356,1,0.995,0.58328,1.35817,2.92383,1.12721,0.000401004,0.000401004,0.000401004
15,23.1461,1.57186,1.97482,1.39244,0.92356,1,0.995,0.58328,1.35817,2.92383,1.12721,0.000419224,0.000419224,0.000419224
16,24.3088,1.34456,2.45215,1.31314,0.98084,1,0.995,0.56014,1.38645,2.23966,1.01017,0.00043586,0.00043586,0.00043586
17,25.3331,1.41043,1.90622,1.20219,0.98888,1,0.995,0.64814,1.4116,1.71867,0.95288,0.000450912,0.000450912,0.000450912
