epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.13659,0.85116,3.42941,1.3566,0.29064,0.57592,0.28722,0.20262,0.43081,2.77822,1.04018,2e-05,2e-05,2e-05
2,8.28298,0.55588,2.83809,1.10649,0.27092,0.6,0.24681,0.18094,0.44492,2.78551,1.05404,5.8812e-05,5.8812e-05,5.8812e-05
3,10.4889,0.83596,3.05797,1.27596,0.21215,0.4,0.2325,0.17655,0.44179,2.80619,1.05722,9.604e-05,9.604e-05,9.604e-05
4,12.6145,0.54921,2.7143,1.12627,1,0.9851,0.995,0.67934,0.4186,7.99511,1.04214,0.000131684,0.000131684,0.000131684
5,13.985,0.47615,1.46303,1.0419,0.96813,0.6,0.80526,0.49525,0.5401,6.30458,1.24913,0.000165744,0.000165744,0.000165744
6,15.5294,0.43728,1.4814,1.02315,0.98269,1,0.995,0.63654,0.60914,4.72658,1.20653,0.00019822,0.00019822,0.00019822
7,17.3352,0.29207,1.07274,0.95036,0.81868,1,0.86167,0.6739,0.43543,3.4811,0.92802,0.000229112,0.000229112,0.000229112
8,18.6904,0.38364,0.93726,0.99405,0.82835,1,0.92833,0.83199,0.37891,2.66597,0.89719,0.00025842,0.00025842,0.00025842
9,20.1633,0.35095,0.86642,0.9613,0.73653,0.6,0.56405,0.50845,0.47011,4.2026,0.99484,0.000286144,0.000286144,0.000286144
10,21.4198,0.36904,1.09306,0.99972,0.78929,0.75715,0.82611,0.71239,0.67849,4.04154,1.23909,0.000312284,0.000312284,0.000312284
11,22.6605,0.47159,1.2592,1.0686,0.59683,1,0.84,0.73658,0.568,5.79003,1.1524,0.00033684,0.00033684,0.00033684
12,23.916,0.44731,1.10594,1.03257,0.59683,1,0.84,0.73658,0.568,5.79003,1.1524,0.000359812,0.000359812,0.000359812
13,25.4134,0.40307,0.80682,1.00837,0.83382,1,0.995,0.88008,0.62829,3.14999,1.13936,0.0003812,0.0003812,0.0003812
14,26.8049,0.46229,0.82532,1.05503,0.82132,1,0.92833,0.8067,0.70938,3.2172,1.19414,0.000401004,0.000401004,0.000401004
15,28.1724,0.35171,0.82087,0.95518,0.82132,1,0.92833,0.8067,0.70938,3.2172,1.19414,0.000419224,0.000419224,0.000419224
16,29.496,0.45164,0.75064,1.0286,0.75407,1,0.995,0.93508,0.55358,9.53084,1.10441,0.00043586,0.00043586,0.00043586
17,30.8225,0.38738,0.61174,0.96881,1,1,0.995,0.73695,0.58041,13.8561,1.29795,0.000450912,0.000450912,0.000450912
18,32.4041,0.34365,0.62053,0.97659,1,1,0.995,0.73695,0.58041,13.8561,1.29795,0.00046438,0.00046438,0.00046438
19,33.6494,0.36598,0.71779,1.0254,1,0.8,0.995,0.69846,0.66546,6.33143,1.7928,0.000476264,0.000476264,0.000476264
20,35.1926,0.47318,0.67664,1.07768,1,0.8,0.995,0.69846,0.66546,6.33143,1.7928,0.000486564,0.000486564,0.000486564
21,36.6543,0.36949,0.53099,0.93723,0.75431,1,0.995,0.74313,0.77824,3.12637,1.88832,0.00049528,0.00049528,0.00049528
22,38.2099,0.41262,0.73773,1.0584,0.75431,1,0.995,0.74313,0.77824,3.12637,1.88832,0.000502412,0.000502412,0.000502412
23,39.4792,0.41079,0.61684,1.03156,0.83888,1,0.995,0.68424,0.9326,3.03267,1.96896,0.00050796,0.00050796,0.00050796
24,40.6753,0.36597,0.52425,1.01578,0.83888,1,0.995,0.68424,0.9326,3.03267,1.96896,0.000511924,0.000511924,0.000511924
25,41.9102,0.42741,0.56728,1.04956,0.62074,1,0.76643,0.59218,0.84733,3.80168,1.85215,0.000514304,0.000514304,0.000514304
26,43.1638,0.38169,0.50855,0.99507,0.62074,1,0.76643,0.59218,0.84733,3.80168,1.85215,0.0005151,0.0005151,0.0005151
27,44.6204,0.3395,0.52393,0.90181,0.62074,1,0.76643,0.59218,0.84733,3.80168,1.85215,0.000514312,0.000514312,0.000514312
